                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9471,                 6.2114,                 1.7705,                0.07097,                0.00406,                 0.0012,                0.00066,                 1.5917,                 5.8929,                 1.5174,             9.1467e-06,             9.1467e-06,             9.1467e-06
                      2,                  1.801,                 6.0904,                 1.6497,                 0.0014,                0.00658,                0.00157,                0.00092,                 1.5379,                 5.7563,                 1.4964,             1.4821e-05,             1.4821e-05,             1.4821e-05
                      3,                 1.6688,                 5.9593,                 1.5588,                0.00577,                0.00498,                0.00337,                0.00253,                 1.4598,                 5.6302,                 1.4477,             1.6799e-05,             1.6799e-05,             1.6799e-05
                      4,                 1.6053,                 5.8437,                 1.4984,                0.00574,                0.00466,                0.00346,                0.00262,                 1.4144,                 5.5503,                 1.4142,             1.1368e-05,             1.1368e-05,             1.1368e-05
                      5,                 1.5567,                 5.7968,                 1.4601,                0.00527,                0.00619,                0.00338,                0.00223,                 1.3721,                 5.4827,                 1.3916,             1.1368e-05,             1.1368e-05,             1.1368e-05
                      1,                 1.7186,                 6.0836,                 1.7009,                0.00582,                0.00781,                0.00321,                0.00235,                 1.2649,                 5.6619,                 1.3446,             9.1467e-06,             9.1467e-06,             9.1467e-06
                      2,                 1.4268,                 5.7612,                 1.4474,                0.00385,                0.01563,                0.00382,                0.00242,                 1.2146,                 5.1848,                 1.2663,             1.8114e-05,             1.8114e-05,             1.8114e-05
                      3,                  1.314,                 5.2744,                 1.3185,                0.01248,                0.04472,                0.01529,                0.01113,                 1.1893,                 4.5681,                 1.2262,             2.6712e-05,             2.6712e-05,             2.6712e-05
                      4,                 1.3161,                 4.8193,                 1.2681,                0.02779,                0.07504,                0.03437,                0.02459,                 1.1814,                 4.1944,                  1.219,             2.6337e-05,             2.6337e-05,             2.6337e-05
                      5,                 1.3055,                 4.4857,                 1.2573,                 0.1652,                0.07526,                0.05336,                0.03777,                 1.1739,                 3.8998,                 1.2178,             2.6337e-05,             2.6337e-05,             2.6337e-05
                      6,                 1.2975,                 4.0478,                 1.2544,                0.22481,                0.09618,                0.07931,                0.05677,                 1.1689,                 3.4987,                 1.2194,             2.5782e-05,             2.5782e-05,             2.5782e-05
                      7,                  1.254,                  3.772,                 1.2399,                 0.2925,                0.13816,                0.11468,                0.08106,                   1.16,                 3.1836,                 1.2185,             2.5228e-05,             2.5228e-05,             2.5228e-05
                      8,                 1.2647,                 3.3289,                 1.2592,                0.36816,                0.16483,                0.15545,                0.10969,                 1.1528,                 2.9089,                 1.2214,             2.4674e-05,             2.4674e-05,             2.4674e-05
                      9,                 1.2687,                 3.2784,                 1.2529,                0.32516,                  0.187,                0.17067,                0.12082,                 1.1533,                 2.7879,                 1.2214,             2.4119e-05,             2.4119e-05,             2.4119e-05
                     10,                 1.2801,                 3.1379,                 1.2645,                0.34005,                0.20881,                0.19676,                0.13772,                 1.1429,                 2.6017,                 1.2232,             2.3565e-05,             2.3565e-05,             2.3565e-05
                     11,                  1.224,                 2.8135,                 1.2373,                0.41399,                0.24383,                0.23761,                0.16341,                 1.1434,                   2.34,                 1.2225,              2.301e-05,              2.301e-05,              2.301e-05
                     12,                 1.2338,                 2.6754,                 1.2167,                0.40074,                0.27575,                0.26821,                0.18461,                 1.1382,                 2.1931,                 1.2208,             2.2456e-05,             2.2456e-05,             2.2456e-05
                     13,                 1.2281,                 2.4624,                 1.1976,                0.40271,                0.30099,                0.29988,                0.20714,                 1.1363,                  2.034,                 1.2182,             2.1902e-05,             2.1902e-05,             2.1902e-05
                     14,                 1.1906,                 2.2805,                  1.198,                0.39781,                0.33113,                0.32462,                0.22242,                 1.1339,                 1.9242,                 1.2182,             2.1347e-05,             2.1347e-05,             2.1347e-05
                     15,                 1.2431,                 2.2115,                 1.2188,                0.42074,                0.36197,                0.35049,                0.24058,                 1.1201,                 1.7994,                 1.2083,             2.0793e-05,             2.0793e-05,             2.0793e-05
                     16,                 1.1691,                 1.9997,                 1.1941,                0.44532,                0.38649,                0.37544,                 0.2579,                 1.1098,                  1.709,                 1.2054,             2.0238e-05,             2.0238e-05,             2.0238e-05
                     17,                  1.193,                 1.9305,                 1.1873,                0.45664,                0.40009,                0.40547,                0.27822,                 1.1093,                 1.6246,                 1.2046,             1.9684e-05,             1.9684e-05,             1.9684e-05
                     18,                  1.208,                 1.9019,                 1.2121,                0.47128,                0.41196,                0.42553,                0.29368,                 1.1113,                  1.558,                 1.2063,              1.913e-05,              1.913e-05,              1.913e-05
                     19,                 1.1856,                  1.848,                 1.2093,                0.52037,                0.43091,                0.44979,                0.31213,                 1.1014,                 1.4649,                 1.2013,             1.8575e-05,             1.8575e-05,             1.8575e-05
                     20,                 1.1815,                 1.7304,                 1.2109,                0.52544,                0.44901,                0.46124,                0.31901,                 1.0987,                 1.4154,                 1.2053,             1.8021e-05,             1.8021e-05,             1.8021e-05
                     21,                 1.1226,                 1.6073,                 1.1713,                0.52742,                0.47584,                0.48471,                0.33626,                 1.0968,                 1.3635,                  1.201,             1.7466e-05,             1.7466e-05,             1.7466e-05
                     22,                 1.1633,                 1.6405,                 1.1841,                0.53531,                0.49636,                0.49874,                0.34563,                 1.0962,                 1.3363,                 1.1992,             1.6912e-05,             1.6912e-05,             1.6912e-05
                     23,                  1.129,                 1.5036,                 1.1662,                0.54811,                0.51464,                0.50857,                0.35135,                 1.1012,                 1.2982,                 1.2027,             1.6358e-05,             1.6358e-05,             1.6358e-05
                     24,                  1.171,                 1.4726,                 1.2123,                0.54851,                 0.5359,                0.52047,                0.36088,                 1.0989,                  1.269,                 1.1984,             1.5803e-05,             1.5803e-05,             1.5803e-05
                     25,                 1.1648,                 1.4339,                 1.1874,                0.57307,                0.52371,                0.53002,                0.36661,                 1.1006,                 1.2362,                 1.1973,             1.5249e-05,             1.5249e-05,             1.5249e-05
