                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.706,                 6.0831,                 1.6841,                0.00303,                0.01445,                0.00237,                0.00173,                 1.3006,                 5.3953,                 1.3879,             9.2477e-06,             9.2477e-06,             9.2477e-06
                      2,                 1.3808,                 5.4599,                 1.3828,                 0.0094,                0.04819,                 0.0148,                0.01053,                  1.228,                 4.4247,                 1.2862,             1.8213e-05,             1.8213e-05,             1.8213e-05
                      3,                 1.3232,                 4.6601,                 1.2888,                0.34994,                0.05378,                0.03716,                0.02709,                 1.1981,                 3.7969,                 1.2683,             2.6809e-05,             2.6809e-05,             2.6809e-05
                      4,                 1.2705,                 4.1257,                 1.2789,                0.36423,                0.10752,                0.08821,                0.06178,                 1.1724,                 3.2766,                 1.2726,             2.6337e-05,             2.6337e-05,             2.6337e-05
                      5,                 1.2948,                  3.645,                 1.3068,                0.40738,                0.16692,                0.14159,                0.09894,                 1.1617,                 2.7855,                 1.2561,             2.6337e-05,             2.6337e-05,             2.6337e-05
                      6,                 1.2585,                 3.2527,                 1.2432,                0.45883,                 0.2199,                0.20544,                0.14254,                 1.1413,                  2.456,                 1.2423,             2.5782e-05,             2.5782e-05,             2.5782e-05
                      7,                 1.2508,                 2.8967,                 1.2649,                0.51334,                0.27256,                0.26803,                 0.1869,                 1.1202,                 2.0911,                 1.2382,             2.5228e-05,             2.5228e-05,             2.5228e-05
                      8,                 1.2311,                 2.5888,                 1.2435,                0.55278,                 0.3322,                0.33146,                0.23174,                 1.1076,                 1.8503,                  1.231,             2.4674e-05,             2.4674e-05,             2.4674e-05
                      9,                 1.2052,                 2.4378,                 1.2372,                0.59071,                0.37381,                0.38461,                0.27001,                 1.0959,                 1.6809,                 1.2224,             2.4119e-05,             2.4119e-05,             2.4119e-05
                     10,                 1.1818,                  2.228,                 1.2179,                0.63838,                 0.3953,                0.41509,                0.29277,                 1.0864,                 1.5904,                 1.2192,             2.3565e-05,             2.3565e-05,             2.3565e-05
                     11,                 1.2101,                 2.1318,                 1.2238,                0.67537,                0.44008,                0.46357,                0.32883,                 1.0766,                 1.4314,                 1.2103,              2.301e-05,              2.301e-05,              2.301e-05
                     12,                 1.1531,                 1.9829,                 1.2225,                0.71171,                0.45069,                0.49486,                0.35178,                  1.065,                 1.3348,                 1.2136,             2.2456e-05,             2.2456e-05,             2.2456e-05
                     13,                 1.1402,                 1.8106,                 1.1955,                0.70319,                 0.4895,                0.52613,                0.37498,                 1.0593,                 1.2752,                 1.2102,             2.1902e-05,             2.1902e-05,             2.1902e-05
                     14,                 1.1789,                 1.8517,                 1.2242,                0.69565,                 0.5197,                0.54542,                0.38634,                 1.0524,                 1.2468,                 1.2017,             2.1347e-05,             2.1347e-05,             2.1347e-05
                     15,                 1.1429,                 1.7109,                 1.1988,                0.69156,                0.53726,                0.57363,                0.41031,                 1.0429,                 1.1798,                 1.1998,             2.0793e-05,             2.0793e-05,             2.0793e-05
                     16,                 1.1309,                 1.6281,                 1.1841,                0.71618,                0.55804,                 0.5957,                0.42438,                 1.0369,                  1.107,                 1.1959,             2.0238e-05,             2.0238e-05,             2.0238e-05
                     17,                 1.1228,                 1.4937,                 1.1862,                0.74059,                0.58485,                0.62163,                0.44466,                 1.0229,                 1.0409,                 1.1873,             1.9684e-05,             1.9684e-05,             1.9684e-05
                     18,                 1.1299,                 1.5022,                 1.1928,                0.77033,                0.58189,                0.62877,                0.44984,                 1.0256,                  1.038,                 1.1883,              1.913e-05,              1.913e-05,              1.913e-05
                     19,                 1.1126,                 1.4862,                 1.1772,                0.74518,                0.59317,                0.64367,                0.46205,                 1.0233,                  1.022,                 1.1873,             1.8575e-05,             1.8575e-05,             1.8575e-05
                     20,                 1.1234,                 1.4743,                 1.1834,                0.75931,                 0.6191,                0.66257,                0.47809,                 1.0138,                 0.9859,                 1.1795,             1.8021e-05,             1.8021e-05,             1.8021e-05
                     21,                 1.0809,                 1.3598,                 1.1694,                0.75021,                0.63431,                0.67656,                0.48868,                 1.0074,                0.94798,                 1.1784,             1.7466e-05,             1.7466e-05,             1.7466e-05
                     22,                 1.0818,                 1.3897,                 1.1602,                0.76123,                0.64592,                0.68954,                0.49713,                  1.015,                0.93003,                 1.1791,             1.6912e-05,             1.6912e-05,             1.6912e-05
                     23,                 1.1059,                 1.3323,                 1.1909,                0.74934,                0.65277,                0.69947,                0.50823,                0.99719,                0.91741,                 1.1723,             1.6358e-05,             1.6358e-05,             1.6358e-05
                     24,                 1.0965,                 1.3346,                 1.1654,                0.77751,                 0.6472,                0.70955,                0.51579,                0.99637,                0.90169,                 1.1681,             1.5803e-05,             1.5803e-05,             1.5803e-05
                     25,                 1.0887,                 1.2837,                 1.1686,                0.73249,                0.68407,                0.71606,                0.52077,                0.99176,                0.88121,                 1.1638,             1.5249e-05,             1.5249e-05,             1.5249e-05
                     26,                  1.062,                 1.2634,                 1.1603,                0.74449,                0.69004,                0.72464,                0.52777,                0.98362,                0.87093,                 1.1613,             1.4694e-05,             1.4694e-05,             1.4694e-05
                     27,                 1.0953,                 1.2936,                 1.1605,                0.78516,                0.67129,                0.72835,                0.53028,                0.98416,                0.86859,                 1.1619,              1.414e-05,              1.414e-05,              1.414e-05
                     28,                 1.0626,                 1.2199,                 1.1598,                0.74681,                0.71412,                0.73573,                 0.5364,                0.98169,                0.85684,                 1.1631,             1.3586e-05,             1.3586e-05,             1.3586e-05
                     29,                 1.0645,                 1.2245,                 1.1578,                0.76896,                  0.715,                 0.7393,                0.53915,                 0.9793,                0.83092,                 1.1592,             1.3031e-05,             1.3031e-05,             1.3031e-05
                     30,                 1.0653,                 1.1926,                 1.1594,                0.74353,                0.72154,                0.74779,                0.54753,                0.97794,                0.82368,                 1.1638,             1.2477e-05,             1.2477e-05,             1.2477e-05
                     31,                 1.0395,                 1.1676,                 1.1565,                 0.7709,                0.72119,                0.75467,                0.55208,                 0.9707,                0.81249,                 1.1568,             1.1922e-05,             1.1922e-05,             1.1922e-05
                     32,                 1.0465,                 1.1734,                 1.1557,                0.77849,                 0.7178,                0.75914,                 0.5555,                0.96638,                0.81559,                 1.1534,             1.1368e-05,             1.1368e-05,             1.1368e-05
                     33,                 1.0485,                 1.1619,                 1.1587,                0.78594,                0.72765,                0.76412,                0.56125,                0.96104,                0.79124,                 1.1528,             1.0814e-05,             1.0814e-05,             1.0814e-05
                     34,                  1.052,                 1.1675,                  1.158,                0.77643,                0.73294,                0.77103,                 0.5662,                0.96221,                0.79579,                 1.1537,             1.0259e-05,             1.0259e-05,             1.0259e-05
                     35,                 1.0637,                 1.1368,                 1.1729,                0.79584,                0.71696,                0.77264,                0.56851,                0.95896,                0.77992,                 1.1513,             9.7048e-06,             9.7048e-06,             9.7048e-06
                     36,                 1.0362,                 1.1248,                 1.1363,                0.77772,                0.74428,                0.77704,                0.57363,                0.95377,                0.77836,                 1.1466,             9.1504e-06,             9.1504e-06,             9.1504e-06
